PERIODO,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII
1976 - 1977,,,,0,31,321,156,255,335,,696,96,,16,3,0
1977 - 1978,,,,0,16,479,293,240,405,,1471,247,,133,77,19
1978 - 1979,,,,0,10,670,267,281,627,,1504,313,,879,134,33
1979 - 1980,,,,0,41,907,212,212,271,,668,178,,405,73,10
1980 - 1981,,,,17,32,1163,474,270,247,,970,459,,484,70,11
1981 - 1982,,,,4,33,954,438,393,349,,1277,548,,410,86,28
1982 - 1983,,,,34,22,886,702,313,363,,1153,532,,665,88,24
1983 - 1984,,,,8,57,934,680,293,371,,1785,1519,,508,82,15
1984 - 1985,,,,13,69,1501,664,275,286,,1314,502,176,249,141,33
1985 - 1986,,,,9,112,1105,656,246,415,,1655,638,200,271,84,30
1986 - 1987,,,,0,52,1033,477,239,257,,1623,557,243,547,149,18
1987 - 1988,,,,3,48,1180,479,202,405,,1718,520,136,274,174,63
1988 - 1989,,,,15,62,1028,300,263,490,,2056,700,142,110,54,21
1989 - 1990,,,,27,51,824,372,197,318,,1532,384,101,219,66,23
1990 - 1991,,,,12,60,870,263,183,402,,2521,661,69,111,29,13
1991 - 1992,,,,42,37,1307,494,208,217,,1809,455,45,144,15,15
1992 - 1993,,,,26,44,1271,439,250,280,,2934,721,28,103,4,18
1993 - 1994,,,,21,32,841,512,313,344,,2738,887,102,370,24,30
1994 - 1995,,,,18,25,828,433,298,322,,2382,809,29,176,16,20
1995 - 1996,,,,31,23,727,278,301,384,,2271,956,99,741,58,17
1996 - 1997,,,,28,124,629,381,294,514,,2358,839,61,220,20,25
1997 - 1998,,,,16,52,832,518,186,374,,1867,812,154,452,50,19
1998 - 1999,,,,21,29,704,347,307,556,,2711,1607,175,309,45,20
1999 - 2000,,,,21,26,867,470,316,429,,1802,1114,43,82,54,28
2000 - 2001,,,,5,32,1036,543,267,329,,1839,1194,20,92,7,12
2001 - 2002,,,,12,18,1318,447,245,281,,2183,1320,207,560,48,62
2002 - 2003,,,,39,73,1086,573,238,513,,3185,1541,80,203,15,26
2003 - 2004,,,,24,80,875,743,292,465,,2277,1277,111,235,37,14
2004 - 2005,,,,31,42,956,496,279,403,,2745,1391,109,140,32,29
2005 - 2006,,,,45,39,866,629,176,404,,2108,840,71,164,31,23
2006 - 2007,,,,0,25,874,534,235,295,,1943,974,70,158,20,15
2007 - 2008,,,,0,43,850,269,218,322,,3193,1412,120,470,57,21
2008 - 2009,,,,0,31,642,429,215,265,,2911,1075,198,339,27,25
2009 - 2010,,,,0,19,713,447,225,322,,1837,419,40,24,6,17
2010 - 2011,,,,0,48,824,590,221,479,,2005,580,69,97,17,22
2011 - 2012,,,,1,75,901,299,169,504,,2517,740,89,163,38,13
2012 - 2013,,,,0,71,952,305,203,585,,2409,851,77,169,18,11
2013 - 2014,,,,0,75,843,341,195,684,,2858,968,117,222,27,5
2014 - 2015,,,,0,53,865,442,235,688,,3644,1496,149,433,24,19
2015 - 2016,,,,27,96,760,274,205,796,,2691,1344,183,333,50,25
2016 - 2017,1,,,14,101,961,388,255,631,,1951,753,78,92,21,28
2017 - 2018,6,1,,20,110,986,501,296,802,,2116,969,84,157,21,12
2018 - 2019,11,2,0,29,86,905,532,344,951,547,2134,1352,123,143,40,20
2019 - 2020,8,7,11,32,85,629,416,402,1161,482,2790,1802,121,155,19,7
2020 - 2021,10,6,5,12,58,418,352,223,725,481,2894,1367,144,338,48,20
2021 - 2022,6,3,3,14,59,444,295,307,898,530,2472,1457,112,297,35,15