MES,XV,I,II,III,IV,V,RM,VI,VII,VIII,IX,XIV,X,XI,XII
JULIO,,,,,,"67,9","0,5","40,2",,"0,0","0,0",,,,
AGOSTO,,,,,,"85,1",,,,"0,0","0,0",,,,
SEPTIEMBRE,,,,"1,3",,"853,3","0,3","0,1","6,4","0,1","0,4",,"0,3",,"0,0"
OCTUBRE,,,,,"10,5","8,2","281,1","1,9","4,7","33,3","15,0",,,"28,2",
NOVIEMBRE,"0,08",,,"5,2","241,7","313,1","1.180,4","112,9","54,4","143,3","74,4","5,7","171,1","7,0","0,3"
DICIEMBRE,"2,5",,,"7,0","109,3","1.059,0","1.817,2","928,3","312,9","556,9","196,3","5,2","32,3","9,2","0,1"
ENERO,,,,"20,0","67,4","966,0","1.314,5","316,3","745,5","2.246,8","7.315,0","354,4","363,0","5,0","101,0"
FEBRERO,"0,75",,,"22,6","646,6","1.331,7","491,8","198,9","882,7","1.892,5","4.696,5","38,1","41,4","3,0","0,0"
MARZO,,,,"0,6","37,8","847,0","547,4","581,5","613,9","1.771,4","1.547,2","24,4","23,3","2,4","0,0"
ABRIL,,,,"5,0","1,7","106,6","21,8","65,0","103,0","84,0","31,7","5,2","0,3","0,3","0,0"
MAYO,,,,,,"39,1","85,7","21,6","84,3","0,1",,,,,
JUNIO,,1,,,"1,5","39,2","13,1","1,5",,"0,0",,,,,